Branch Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Mimico Centennial,Closed,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,Closed
Morningside,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Mount Dennis,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
Mount Pleasant,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
New Toronto,Closed,10:00 - 6:00,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
Northern District,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Northern Elms,Closed,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,Closed
Oakwood Village Library and Arts Centre,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Palmerston,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Pape Danforth,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Parkdale,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Parliament Street,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Perth Dupont,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Pleasant View,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Port Union,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Queen Saulter,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Rexdale,Closed,10:00 - 6:00,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Richview,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Riverdale,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Runnymede,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
S. Walter Stewart,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Sanderson,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Scarborough Civic Centre,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
Spadina Road,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
St. Clair Silverthorn,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
